agent_name,facebook_url,canonical_university,alias_matched,total_ads,active_ads,est_reach_min,est_reach_max,ad_library_url,as_of_date
Trust Education Consultancy,https://www.facebook.com/trustedu.com.vn,,,1,1,0,0,,2026-04-30
Unicampus Education Network,https://www.facebook.com/unicampusnepal,,,1,1,0,0,,2026-04-30
VEVS - Value Education and Visa Services - Nepal,https://www.facebook.com/vevsglobal,,,1,1,0,0,,2026-04-30
VINEC Study Abroad,https://www.facebook.com/duhocvinec,,,1,1,0,0,,2026-04-30
Vietnam Centre Point,https://www.facebook.com/duhochopdiem,,,1,1,0,0,,2026-04-30
Vietnam Intellectual Services Co,https://www.facebook.com/duhocvisco,,,1,1,0,0,,2026-04-30
Viv's International Education Centre (VIEC),https://www.facebook.com/viec.india,,,1,1,0,0,,2026-04-30
"WEduAbroad (WEduShare Co., Ltd.)",https://www.facebook.com/WEduAbroad,,,1,1,0,0,,2026-04-30
Wise Education & Migration,https://www.facebook.com/WiseEducationAndMigration,,,1,1,0,0,,2026-04-30
Worldlink Education Company,https://www.facebook.com/worldlink.education,,,1,1,0,0,,2026-04-30
York International Educational Consultancy,https://www.facebook.com/yieceducation,,,1,1,0,0,,2026-04-30
iStudy Global,https://www.facebook.com/istudyglobalconsultants,,,1,1,0,0,,2026-04-30
iae GLOBAL,https://www.facebook.com/iaeglobalvietnam,,,1,1,0,0,,2026-04-30
